MergeSort:		QuickSort		IntroSort

0.128817		0.092065		0.049991
0.11769		0.09369		0.048713
0.11613		0.09169		0.048494
0.118458		0.09278		0.049715
0.119469		0.091978		0.048396
0.118462		0.092579		0.048348
0.121537		0.09273		0.049324
0.11896		0.096015		0.048516
0.120472		0.092035		0.048282
0.12148		0.094898		0.048233
0.119578		0.092035		0.0487
0.119013		0.091619		0.04909
0.119899		0.091483		0.048203
0.118992		0.091285		0.048366
0.117336		0.093737		0.049
0.118813		0.091336		0.048125
0.118294		0.091673		0.048988
0.117609		0.092594		0.048118
0.115977		0.091075		0.048985
0.117607		0.091358		0.048525
0.119766		0.09219		0.048398
0.121855		0.096553		0.050919
0.118394		0.094592		0.050235
0.122303		0.094626		0.048155
0.118571		0.092854		0.04779
0.123442		0.094688		0.048145
0.119987		0.091789		0.04803
0.121943		0.094506		0.048552
0.120154		0.091475		0.048109
0.118202		0.091661		0.048265
0.116596		0.093703		0.048742
0.122085		0.092501		0.048303
0.118755		0.091521		0.048356
0.118185		0.092894		0.049054
0.118676		0.091525		0.04867
0.117391		0.091878		0.050767
0.119741		0.092081		0.048505
0.118825		0.091827		0.048383
0.122071		0.095702		0.048865
0.120754		0.092393		0.048305
0.118162		0.091362		0.048232
0.118135		0.093641		0.048678
0.118088		0.092455		0.048715
0.122526		0.092118		0.050387
0.119451		0.091876		0.048784
0.118751		0.091662		0.048317
0.121781		0.097604		0.048716
0.117329		0.091157		0.048593
0.115557		0.091685		0.047991
0.12122		0.092119		0.048229
0.122057		0.091578		0.048221
0.118433		0.091558		0.050077
0.121925		0.091849		0.048829
0.118172		0.090955		0.048171
0.121953		0.095169		0.048896
0.121802		0.096662		0.050943
0.118893		0.091947		0.048618
0.12393		0.097185		0.050026
0.118281		0.092477		0.048193
0.118372		0.092308		0.050102
0.12411		0.091845		0.048277
0.121883		0.095728		0.048991
0.12166		0.093264		0.048215
0.12217		0.096918		0.050842
0.11756		0.091741		0.048593
0.124002		0.091847		0.048305
0.118652		0.09151		0.0483
0.121138		0.094546		0.049269
0.122333		0.095388		0.048199
0.119093		0.092538		0.049083
0.120328		0.09324		0.048146
0.118332		0.092469		0.048605
0.116212		0.091464		0.049617
0.118059		0.092594		0.048373
0.118436		0.091568		0.048253
0.116193		0.094678		0.049025
0.122141		0.096554		0.048688
0.120004		0.091044		0.048259
0.118357		0.09243		0.048651
0.120251		0.091183		0.048151
0.12227		0.093703		0.049416
0.11995		0.091162		0.048367
0.122122		0.092854		0.048563
0.11738		0.094393		0.048927
0.122165		0.096769		0.05046
0.116182		0.091835		0.048272
0.121937		0.092162		0.049151
0.118406		0.091408		0.048409
0.117512		0.092385		0.050624
0.117424		0.09191		0.048273
0.117284		0.092265		0.048332
0.122062		0.098553		0.050642
0.11807		0.092797		0.048097
0.116531		0.091434		0.048134
0.1195		0.092404		0.048363
0.121878		0.096249		0.048298
0.120434		0.092363		0.050387
0.122894		0.094523		0.048294
0.118489		0.091479		0.048486
0.119236		0.094331		0.04854

0.119697		0.0929451		0.0487926
