MergeSort:		QuickSort		IntroSort

1.23351		0.963661		0.517648
1.20117		0.953446		0.518143
1.23302		0.959811		0.515323
1.19513		0.951206		0.519788
1.20859		0.960156		0.515372
1.20051		0.956454		0.521076
1.20847		0.951731		0.518322
1.2071		0.952564		0.526129
1.20479		0.953104		0.518455
1.20312		0.960459		0.521672
1.20775		0.95161		0.51828
1.19872		0.968064		0.515639
1.19991		0.957994		0.517709
1.21735		0.958233		0.518017
1.20154		0.952271		0.518003
1.2119		0.953998		0.521779
1.20034		0.952124		0.518021
1.21204		0.953511		0.517098
1.19854		0.956944		0.51923
1.20654		0.975065		0.51548
1.20011		0.951862		0.527275
1.20412		0.95538		0.518117
1.20341		0.966846		0.522396
1.19997		0.951161		0.517901
1.19927		0.966525		0.514557
1.19863		0.956952		0.51844
1.20523		0.966519		0.514509
1.20032		0.95223		0.517157
1.21147		0.953926		0.519311
1.20342		0.952495		0.517291
1.22753		0.952115		0.516786
1.20062		0.951449		0.522846
1.2046		0.960547		0.519422
1.197		0.957735		0.523963
1.20617		0.953705		0.515886
1.20108		0.954551		0.525399
1.2149		0.955245		0.519198
1.20561		0.963174		0.518041
1.19937		0.954938		0.518052
1.2022		0.967843		0.519691
1.19749		0.955675		0.523691
1.20503		0.956914		0.515587
1.19896		0.952682		0.520453
1.21763		0.952264		0.51763
1.20024		0.950272		0.52116
1.20854		0.952179		0.519719
1.19739		0.953981		0.528015
1.20028		0.958479		0.522522
1.20474		0.959487		0.521199
1.2235		0.951109		0.519502
1.20239		0.96652		0.522021
1.20926		0.952863		0.521395
1.20206		0.959669		0.520681
1.20192		0.956631		0.519982
1.20823		0.959465		0.520739
1.19724		0.956519		0.513821
1.21498		0.957543		0.541735
1.20098		0.953619		0.523708
1.20655		0.952972		0.516656
1.20091		0.950954		0.527971
1.20438		0.952587		0.527406
1.20211		0.96007		0.523085
1.20075		0.958909		0.514875
1.19879		0.970564		0.527347
1.20192		0.950954		0.518728
1.20498		0.960158		0.519469
1.19867		0.953365		0.518477
1.20858		0.953573		0.518929
1.19923		0.952343		0.519027
1.21169		0.956066		0.518074
1.19799		0.95583		0.515558
1.2127		0.953268		0.515092
1.19932		0.954479		0.526353
1.20285		0.956695		0.519534
1.20069		0.955926		0.527369
1.20052		0.953276		0.519087
1.1966		0.965832		0.520504
1.19721		0.954325		0.514494
1.2003		0.962102		0.51884
1.19937		0.949521		0.518597
1.20664		0.958206		0.517419
1.20175		0.95127		0.517279
1.22473		0.95453		0.51734
1.20173		0.955657		0.517283
1.20861		0.957351		0.514106
1.21046		0.954735		0.521102
1.20344		0.951808		0.517761
1.20146		0.956178		0.530545
1.20219		0.953728		0.519233
1.20454		0.961341		0.527614
1.19733		0.95576		0.517021
1.19869		0.964946		0.512821
1.19839		0.953253		0.516942
1.21267		0.954168		0.516631
1.19836		0.954663		0.517138
1.22884		0.952575		0.524124
1.20078		0.951666		0.540982
1.21423		0.95775		0.515966
1.23629		1.03075		0.528309
1.19909		0.955635		0.517295

1.20522		0.957132		0.520034
